site_id,date,time_idx,latitude,longitude,area,ndvi,precipitation,salinity,sea_surface_height,soil_moisture,ocean_current_speed,ocean_cur_dir_sin,ocean_cur_dir_cos,wind_speed,wind_direction_sin,wind_direction_cos
Al_Shoaiba,7/1/2023,115,20.76609193,39.47337765,140503,0.318005763,0,38.41990761,-0.006662848,0.150450213,1.88969688,0.336285178,-0.941760203,5.04572181,-0.568495038,0.822686691
Al_Shoaiba,8/1/2023,116,20.76609193,39.47337765,1238416,0.271890759,5.123333691,38.38711166,-0.031078358,0.161650167,1.998464461,-0.368244654,-0.929728926,3.125756504,-0.416699128,0.909044464
Al_Shoaiba,9/1/2023,117,20.76609193,39.47337765,1317576,0.323873037,1.465987934,38.40298801,-0.060760429,0.172646255,2.237106793,0.284141594,-0.958782329,3.324691553,-0.567847169,0.823134007
Al_Shoaiba,10/1/2023,118,20.76609193,39.47337765,1281118,0.312941548,7.963189103,38.1870534,0.073624356,0.16483598,2.284089813,0.577992991,-0.816041728,0.592872494,-0.053729667,0.998555518
Al_Shoaiba,11/1/2023,119,20.76609193,39.47337765,1417603,0.42230509,26.76543976,38.13929932,0.129576227,0.262089294,2.444886218,-0.035299854,-0.999376766,0.24673707,0.96290087,0.269855359
Al_Shoaiba,12/1/2023,120,20.76609193,39.47337765,1314072,0.484013762,28.99323908,37.93419308,0.12534318,0.226855861,2.088491484,0.204546292,-0.978856892,0.401183543,-0.016483494,-0.999864138
Al_Shoaiba,1/1/2024,121,20.76609193,39.47337765,381083,0.487121724,13.84838188,37.98138202,0.15471711,0.180761411,2.276994443,-0.10837433,-0.994110157,2.820085357,-0.921128593,0.389258417
Al_Shoaiba,2/1/2024,122,20.76609193,39.47337765,1440250,0.430001742,0,38.11884506,0.133381161,0.189226597,2.002774171,0.675826075,-0.737061134,3.819537795,-0.933155842,0.359472078
Al_Shoaiba,3/1/2024,123,20.76609193,39.47337765,1313164,0.325069205,8.577467543,37.95832641,0.228627279,0.174556467,2.550269785,-0.199397355,-0.979918719,1.690229946,-0.80133206,0.598219801
Al_Shoaiba,4/1/2024,124,20.76609193,39.47337765,1416847,0.468906618,11.53583804,37.77930719,0.239260285,0.191532331,2.006329378,0.190472578,-0.981692516,1.52581981,-0.55582141,0.831301726
Al_Shoaiba,5/1/2024,125,20.76609193,39.47337765,1347397,0.479469858,1.590515355,37.80500454,0.201189666,0.172656081,2.124029513,0.634723938,-0.772738974,4.132305941,-0.699503978,0.714628704
Al_Shoaiba,6/1/2024,126,20.76609193,39.47337765,1218976,0.312412805,0.14118304,37.95575615,0.141697493,0.157242083,2.274119554,0.869887496,-0.493250183,3.181883364,-0.467804702,0.883831862
Al_Shoaiba,7/1/2024,127,20.76609193,39.47337765,1280786,0.326622115,0.582746748,37.83648074,-0.021252966,0.150772687,2.560297722,-0.209439045,-0.977821705,3.210084989,-0.279210771,0.96022984
Al_Shoaiba,8/1/2024,128,20.76609193,39.47337765,80159,0.246536145,18.63300672,38.03060899,-0.088994294,0.207828309,2.318674489,0.3541857,-0.935175112,2.505928318,0.255361927,0.966845534
Al_Shoaiba,9/1/2024,129,20.76609193,39.47337765,1348672,0.346558394,1.832602616,38.2085844,-0.14330022,0.191452108,2.318674489,0.3541857,-0.935175112,4.303660349,-0.656263088,0.754532146
Al_Shoaiba,10/1/2024,130,20.76609193,39.47337765,1317661,0.328234637,5.330775817,37.96152892,-0.14330022,0.169989789,2.318674489,0.3541857,-0.935175112,1.907925232,-0.556084519,0.831125747
Al_Shoaiba,11/1/2024,131,20.76609193,39.47337765,1257432,0.457573354,17.89820432,37.87983223,-0.14330022,0.225828523,2.318674489,0.3541857,-0.935175112,1.367699419,-0.827789065,0.561039449
Al_Shoaiba,12/1/2024,132,20.76609193,39.47337765,1152955,0.455758256,9.59665034,37.92587181,-0.14330022,0.20182271,2.318674489,0.3541857,-0.935175112,1.538394016,-0.9346639,0.355532551
