month,area,ndvi,ocean_current_speed ,ocean_current_direction,precipitation,salinity,sea_surface_height,soil_moisture,surface_temperature,wind_speed ,wind_direction 
2016-05,37283,0.231607876,1.743856333,54.61247637,2.64351967,37.75941315,0.270957023,0.192524932,38.86,1.379582826,26.49615015
2016-06,41575,0.307318777,1.665351512,87.01066588,0,37.80848051,0.1770775,0.1615336,35.455,1.396192841,19.12058778
2016-07,0,,,270,3.088960513,38.19438564,0.09618706,0.155529195,35.8,1.48574749,2.753381404
2016-08,37565,0.265561297,0,74.7972973,15.16123515,38.29385965,0.012924415,0.204928958,37.965,1.051670902,36.35847628
2016-09,38257,0.268904407,2.163086295,197.3128419,5.931633234,38.489631,0.060373281,0.20544285,39.785,1.252163487,34.60278776
2016-10,37357,0.318035919,2.102799228,251.2136239,0,38.63267212,0.120843646,0.168578504,37.58,1.006762002,66.33435619
2016-11,47657,0.393164778,2.662408118,224.4154602,20.15026069,38.65140969,0.201873429,0.206130794,34.14,0.931217398,123.0359043
2016-12,52450,0.498543449,2.038851351,97.55501497,9.293638468,38.63843199,0.249363799,0.214748249,33.51,0.42110938,114.1697105
2017-01,51384,0.485879442,2.25,248.6554168,15.140728,38.38168913,0.258027217,0.230049112,32.935,0.533090317,46.29944479
2017-02,50674,0.492819748,2.910847188,193.9108942,0,38.62979431,0.276132894,0.193519229,25.478,0.496931008,168.9262827
2017-03,49774,0.440775711,2.868455193,60.94704684,0,38.50784651,0.25354051,0.181720485,36.62,0.592325547,129.7746074
2017-04,43375,0.315835751,2,112.8384328,23.72708178,37.98926326,0.276964412,0.162931914,36.945,1.035855781,86.9794605
2017-05,48557,0.394779092,1.864609893,186.988963,1.686938465,37.96665246,0.23927173,0.222042194,39.34,1.534821244,40.95624455
2017-06,36665,0.232768296,1.976124219,208.8797381,1.069589376,37.8819822,0.131232315,0.165717987,37.86,1.466322516,26.25924285
2017-07,0,,2.466663742,75.46069218,1.904550076,38.13542262,0.062116484,0.156605491,35.65,1.585012435,3.427403041
2017-08,33143,0.239188811,2.991935484,199.4105715,14.65761209,37.77392785,-0.00839415,0.198278697,38.77,1.29446553,51.9556469
2017-09,34043,0.274053676,2.662162162,180.787022,3.6194278,38.27676991,0.013974124,0.198766775,39.675,1.489950124,60.58184693
2017-10,49457,0.391821453,2.126587302,91.74817822,0,38.36844079,0.11922556,0.168208976,38.12,0.880404645,63.20727868
2017-11,48557,0.391814074,3,90,6.438233852,38.2864139,0.216714883,0.169976526,34.95,0.751643086,121.6283092
2017-12,50357,0.418873264,0.961148649,201.0474183,9.664847851,38.46779927,0.262350056,0.188968215,32.36,1.162215316,108.5342699
2018-01,49774,0.448585621,1.623310811,45.60810811,14.15521264,38.51947021,0.232813211,0.213092232,24.778,0.154435123,212.1132153
2018-02,50953,0.438485692,2,270,0,38.46763589,0.326427103,0.195627003,33.35,0.725402493,85.28379576
2018-03,48874,0.385074319,1.795678439,96.20807396,0,38.06144398,0.23857073,0.173370836,37.875,0.653097193,70.5022756
2018-04,45857,0.322752495,0.197072072,32.30574324,17.24696827,38.35777675,0.277237936,0.214621166,38.63,0.376868842,133.3424414
2018-05,42475,0.268282259,2.549396474,60.42533081,1.12899518,37.98855515,0.226727367,0.185520238,37.35,1.234858349,47.11718116
2018-06,0,,2.25923411,192.3794679,0,37.98974239,0.120200727,0.156285579,36.37,1.738589031,9.532302538
2018-07,32391,0.262022143,1.5,135,1.730821677,38.33633565,-0.044259978,0.151596686,37.555,1.484488502,359.2311631
2018-08,33143,0.228718818,1.333333333,273.8350009,11.51536594,38.1603678,-0.113450725,0.190736845,37.685,1.061658538,19.23048099
2018-09,13500,0.168135091,2.770974668,198.8716891,4.729304433,38.33872811,0.005557332,0.194714461,40.205,1.882759452,63.12533047
2018-10,35843,0.306650886,1.810193196,157.9061553,23.63289976,38.41617268,0.100083515,0.198045509,37.395,0.998020164,75.42139313
2018-11,51384,0.515345926,2.336627454,142.6161244,23.65681577,38.61765518,0.170869541,0.273974527,33.815,1.359615594,152.5538599
2018-12,49774,0.482238305,2.382451686,181.7894975,10.07298589,38.65743517,0.194293479,0.220615856,32.28,0.480954891,113.6249765
2019-01,49676,0.437968391,1.985243535,191.7550322,18.63790131,38.49156701,0.21146158,0.241635899,31.21,1.304429673,104.3395147
2019-02,45666,0.346857764,2.595396399,217.2581433,0,38.3944579,0.238541673,0.182505039,31,0.175752135,33.20568236
2019-03,36743,0.335352299,2.835800181,215.5155539,0,38.42456393,0.144377129,0.166996112,36.305,0.81861761,335.1365535
2019-04,45525,0.379886662,3.02783778,254.6966342,12.81242466,38.41718837,0.18695333,0.19694328,39.185,0.5485352,13.96024268
2019-05,37643,0.330646435,2.203027032,151.9175105,0.415712178,38.07321886,0.260322627,0.176296239,38.165,1.134710976,60.75515281
2019-06,29701,0.235738531,2.89090769,163.4101978,0.998049971,38.09716328,0.155476747,0.162051663,37.695,2.055376394,5.523363119
2019-07,35843,0.305588267,2.080417919,154.7795483,0,38.33919525,0.004599016,0.153555854,36.61,1.98104297,358.1407335
2019-08,30601,0.240510037,1.953747432,175.9134168,19.33257961,38.46806085,-0.043509047,0.202081304,37.38,1.228643998,4.057483229
2019-09,30601,0.239055269,1.843118714,159.4008024,4.673235059,38.54547621,-0.010616016,0.193349798,37.665,1.507098907,38.26843934
2019-10,43943,0.354772116,2.423493222,189.7226657,6.001892328,38.66082219,0.134714382,0.203390555,37.505,1.340756937,41.70594701
2019-11,42143,0.374433859,2.237457308,180.9933992,18.11226955,38.75404619,0.246789478,0.208101088,25.378,0.989521449,144.3422873
2019-12,48225,0.499886388,2.222444943,159.2803141,10.0152607,38.61325378,0.228052688,0.217041475,33.79,0.52231472,203.3112641
2020-01,45832,0.526238312,2.260603154,180.9995014,15.00381565,38.49265453,0.18536353,0.221247218,31.12,1.084605793,306.4796603
2020-02,48158,0.473629779,2.090006289,181.2148502,0,38.41703393,0.233949031,0.18484989,32.085,0.790362329,359.6187831
